metric,mean,std,variance
student_test_acc,84.69099999999999,0.19180458805774347,0.03678900000000067
student_test_acc_no_oracle,84.55699999999999,0.15811704525445988,0.02500100000000091
ensemble_acc_logprob,84.554,0.2987373428281118,0.08924400000000081
ensemble_acc_prob,84.579,0.30405427147139535,0.09244900000000097
ensemble_acc_logit,84.554,0.2987373428281118,0.08924400000000081
avg_ens_acc,84.554,0.2987373428281118,0.08924400000000081
avg_learner_acc,82.57477777777777,0.29545321954291204,0.08729260493827218
avg_ens_conf,0.8199605170345305,0.004866469898154061,2.368252926963959e-05
mean_pairwise_disagreement,0.11965749710798264,0.007050332925487835,4.970719436021786e-05
model_acc_std,1.4376755099665162,0.20725005387850012,0.04295258483264121
model_acc_var,2.1098634567901238,0.6031422319485057,0.36378055195982506
