seed,round,peer,phase,teacher,teacher_pre_acc,counterfactual_teacher,pre_acc,val_acc,delta_acc,val_loss,val_ece,val_conf,train_loss,probe_acc,probe_ce_loss,branch_kd_val_acc,branch_kd_val_loss,pre_loss,delta_loss
0,1,0,kd,1.0,10.14000028371811,,10.559999942779541,9.960000216960907,-0.599999725818634,2.4612882137298584,0.18367047203128734,0.2832704484462738,0.22589625896877713,10.58,2.4516482604980467,,,,
0,2,0,kd,2.0,9.040000289678574,,9.960000216960907,9.239999949932098,-0.7200002670288086,2.542253255844116,0.23821139842773728,0.3306114077568054,0.14765881634818184,9.14,2.5417834350585937,,,2.4612882137298584,0.08096504211425781
0,3,0,kd,3.0,39.19999897480011,,9.239999949932098,37.11999952793121,27.879999577999115,1.681881308555603,0.05931195157863606,0.4288027286529541,0.3375228363752365,38.94,1.6353384735107421,,,2.542253255844116,-0.8603719472885132
0,4,0,kd,1.0,9.239999949932098,,37.11999952793121,9.57999974489212,-27.539999783039093,2.8446812629699707,0.45498525300070247,0.5507852435112,0.09917781617508994,9.66,2.8441138427734374,,,1.681881308555603,1.1627999544143677
0,5,0,ce,,,2.0,9.57999974489212,46.219998598098755,36.639998853206635,1.588198184967041,0.05464166054855535,0.5088129639625549,1.669430620235867,46.88,1.5233670867919922,9.960000216960907,3.0621206760406494,2.8446812629699707,-1.2564830780029297
0,6,0,kd,3.0,37.81999945640564,,46.219998598098755,38.999998569488525,-7.2200000286102295,1.6440753936767578,0.10416501700335754,0.4941650331020355,0.18151167951689826,39.86,1.6135350646972657,,,1.588198184967041,0.0558772087097168
0,7,0,kd,1.0,43.99999976158142,,38.999998569488525,44.80000138282776,5.800002813339233,1.577587366104126,0.11266626709840097,0.5606662034988403,0.19876830683814153,45.56,1.526564178466797,,,1.6440753936767578,-0.06648802757263184
0,8,0,kd,2.0,9.57999974489212,,44.80000138282776,9.759999811649323,-35.040001571178436,3.320446491241455,0.6421698232191435,0.7397698163986206,0.08050672417547967,9.84,3.3230366577148436,,,1.577587366104126,1.742859125137329
0,9,0,kd,3.0,38.80000114440918,,9.759999811649323,38.440001010894775,28.680001199245453,1.8585572242736816,0.21049262912433014,0.5946424603462219,0.2302528822845883,39.24,1.8099806365966797,,,3.320446491241455,-1.4618892669677734
0,10,0,ce,,,1.0,38.440001010894775,54.00000214576721,15.560001134872437,1.3143041133880615,0.06944545118502712,0.6094453930854797,1.4244818590376112,55.52,1.2593019439697266,48.339998722076416,1.5102260112762451,1.8585572242736816,-0.5442531108856201
0,11,0,kd,2.0,48.8400012254715,,54.00000214576721,49.84000027179718,-4.160001873970032,1.4209506511688232,0.09854720780791279,0.59676593542099,0.16531622256173029,51.2,1.3848643768310547,,,1.3143041133880615,0.10664653778076172
0,12,0,kd,3.0,45.86000144481659,,49.84000027179718,45.35999894142151,-4.480001330375671,1.597617268562317,0.16140391570476648,0.6146567463874817,0.15323128739462957,46.24,1.5708873565673829,,,1.4209506511688232,0.17666661739349365
0,13,0,kd,1.0,48.48000109195709,,45.35999894142151,47.63999879360199,2.279999852180481,1.5441124439239502,0.17004413380771383,0.646323025226593,0.13268989532258776,48.68,1.50420703125,,,1.597617268562317,-0.0535048246383667
0,14,0,kd,2.0,60.18000245094299,,47.63999879360199,57.520002126693726,9.880003333091736,1.2347906827926636,0.09557991310238424,0.6707798838615417,0.2524461119969686,58.54,1.1919537628173829,,,1.5441124439239502,-0.3093217611312866
0,15,0,ce,,,3.0,57.520002126693726,59.97999906539917,2.4599969387054443,1.1361397504806519,0.030071731807599436,0.6211230754852295,1.1912735628339979,62.18,1.0798108642578126,37.99999952316284,2.088853120803833,1.2347906827926636,-0.09865093231201172
0,16,0,kd,1.0,57.34000205993652,,59.97999906539917,58.719998598098755,-1.260000467300415,1.1765636205673218,0.08982965695001624,0.6770297288894653,0.18358272292878894,59.76,1.1459864379882811,,,1.1361397504806519,0.04042387008666992
0,17,0,kd,2.0,48.19999933242798,,58.719998598098755,48.179998993873596,-10.539999604225159,1.6359528303146362,0.22095455528529634,0.7023411989212036,0.12389423734082115,49.56,1.59134951171875,,,1.1765636205673218,0.45938920974731445
0,18,0,kd,3.0,61.799997091293335,,48.179998993873596,58.57999920845032,10.400000214576721,1.2327085733413696,0.09840225252450918,0.6842021942138672,0.2693758322821723,59.96,1.184551025390625,,,1.6359528303146362,-0.4032442569732666
0,19,0,kd,1.0,47.940000891685486,,58.57999920845032,48.19999933242798,-10.379999876022339,1.6449577808380127,0.22422585276422471,0.7062258124351501,0.12768658340242173,49.0,1.6108139892578126,,,1.2327085733413696,0.41224920749664307
0,20,0,ce,,,2.0,48.19999933242798,64.21999931335449,16.019999980926514,1.0472625494003296,0.04623790632649835,0.6884378790855408,1.1072799911499023,66.66,0.9854460845947266,55.83999752998352,1.3577708005905151,1.6449577808380127,-0.5976952314376831
0,21,0,kd,3.0,64.03999924659729,,64.21999931335449,64.25999999046326,0.04000067710876465,1.0522189140319824,0.06622856672798585,0.7046586275100708,0.20835628872977363,65.36,1.0047234008789063,,,1.0472625494003296,0.004956364631652832
0,22,0,kd,1.0,62.99999952316284,,64.25999999046326,63.1600022315979,-1.0999977588653564,1.0799394845962524,0.07922486311935843,0.709815502166748,0.18964446144633823,65.4,1.0248230865478516,,,1.0522189140319824,0.02772057056427002
0,23,0,kd,2.0,45.980000495910645,,63.1600022315979,45.80000042915344,-17.360001802444458,1.7622851133346558,0.2695708068929476,0.7275707721710205,0.12120936828189426,47.22,1.7068118682861328,,,1.0799394845962524,0.6823456287384033
0,24,0,kd,3.0,55.080002546310425,,45.80000042915344,55.22000193595886,9.42000150680542,1.468042016029358,0.18035944242562726,0.7322969436645508,0.1634353961414761,56.06,1.4377794097900392,,,1.7622851133346558,-0.29424309730529785
0,25,0,ce,,,1.0,55.22000193595886,65.43999910354614,10.21999716758728,1.0471000671386719,0.06408517792505414,0.713198721408844,1.0383090738932292,66.3,0.9824403396606445,64.78000283241272,1.0481213331222534,1.468042016029358,-0.42094194889068604
0,26,0,kd,2.0,58.61999988555908,,65.43999910354614,57.22000002861023,-8.219999074935913,1.3663133382797241,0.1454762455559655,0.7157805562019348,0.19374474802547031,59.8,1.261932699584961,,,1.0471000671386719,0.31921327114105225
0,27,0,kd,3.0,60.43999791145325,,57.22000002861023,60.74000000953674,3.5199999809265137,1.225013256072998,0.12601624171982156,0.7317915558815002,0.19722770436604817,62.52,1.1592415191650391,,,1.3663133382797241,-0.14130008220672607
0,28,0,kd,1.0,56.80000185966492,,60.74000000953674,58.17999839782715,-2.5600016117095947,1.3205955028533936,0.15743053311431032,0.7392305135726929,0.14875823187828063,60.86,1.2204921997070313,,,1.225013256072998,0.09558224678039551
0,29,0,kd,2.0,67.47999787330627,,58.17999839782715,65.49999713897705,7.319998741149902,1.0198848247528076,0.049542153725248714,0.704221785068512,0.22573058410220675,66.26,0.9880866821289063,,,1.3205955028533936,-0.30071067810058594
0,30,0,ce,,,3.0,65.49999713897705,69.34000253677368,3.840005397796631,0.8882383704185486,0.046351813948123946,0.7381010055541992,0.9637544737074111,71.2,0.8133197372436524,57.05999732017517,1.4643839597702026,1.0198848247528076,-0.13164645433425903
0,31,0,kd,1.0,66.36000275611877,,69.34000253677368,67.33999848365784,-2.0000040531158447,0.9864527583122253,0.047158890712707416,0.718614399433136,0.17351416544384426,67.72,0.9458401245117187,,,0.8882383704185486,0.09821438789367676
0,32,0,kd,2.0,57.6200008392334,,67.33999848365784,58.99999737739563,-8.340001106262207,1.2954572439193726,0.17204345066273335,0.7620007395744324,0.15339736572901408,62.18,1.184270962524414,,,0.9864527583122253,0.3090044856071472
0,33,0,kd,3.0,70.49999833106995,,58.99999737739563,70.03999948501587,11.04000210762024,0.8931328058242798,0.04240847676036616,0.7427199482917786,0.2280769159158071,71.5,0.8153213806152344,,,1.2954572439193726,-0.4023244380950928
0,34,0,kd,1.0,57.66000151634216,,70.03999948501587,56.67999982833862,-13.359999656677246,1.4641938209533691,0.19661749461792868,0.7629728317260742,0.15600029331843057,58.5,1.3587708709716797,,,0.8931328058242798,0.5710610151290894
0,35,0,ce,,,2.0,56.67999982833862,65.56000113487244,8.880001306533813,1.0348150730133057,0.07216879255420088,0.7265777587890625,0.9422666443930732,67.9,0.9431228561401367,66.18000268936157,1.030117392539978,1.4641938209533691,-0.4293787479400635
