condition,seed,round,pre_acc,arm,d_acc,minus_kd,broken,fixed_peer_agree,fixed_peer_disagree,changed,kl,weight_change_backbone,weight_change_head
ce,0,1,9.759999811649323,kd,0.3600001335144043,0.0,9.759999811649323,0.800000037997961,9.319999814033508,100.0,0.5818517804145813,0.6295920116254906,5.840490543011154
ce,0,1,9.759999811649323,ce,28.98000031709671,28.620000183582306,7.199999690055847,2.3600000888109207,33.82000029087067,90.89999794960022,1.3109774589538574,0.4671763271399531,4.470706418178689
ce,0,1,9.759999811649323,ce_head,13.71999979019165,13.359999656677246,6.300000101327896,1.4399999752640724,18.58000010251999,77.0799994468689,26.529380798339844,0.0,22.949495027735672
ce,0,1,9.759999811649323,ce_lowlr,35.340000689029694,34.98000055551529,7.980000227689743,3.1599998474121094,40.16000032424927,95.27999758720398,1.575827717781067,0.09990576570349498,1.2170232247009896
ce,0,2,10.239999741315842,kd,25.23999884724617,0.0,7.1800000965595245,0.15999999595806003,32.260000705718994,94.49999928474426,1.4063982963562012,0.47925173890356076,4.588589201821358
ce,0,2,10.239999741315842,ce,22.279999405145645,-2.959999442100525,4.859999939799309,0.419999985024333,26.719999313354492,88.26000094413757,1.3643269538879395,0.4381833311957774,4.473570886824374
ce,0,2,10.239999741315842,ce_head,12.240000814199448,-12.999998033046722,3.9799999445676804,0.26000000070780516,15.960000455379486,73.15999865531921,56.250431060791016,0.0,26.41440481623365
ce,0,2,10.239999741315842,ce_lowlr,37.2000016272068,11.960002779960632,4.600000008940697,1.080000028014183,40.720000863075256,91.54000282287598,2.267062187194824,0.10140410258227331,1.2403530320204672
ce,0,3,10.300000011920929,kd,24.76000040769577,0.0,5.059999972581863,0.279999990016222,29.53999936580658,89.35999870300293,1.8260657787322998,0.15048959446565285,0.7480272172895456
ce,0,3,10.300000011920929,ce,21.980001032352448,-2.7799993753433228,7.020000368356705,1.3799999840557575,27.619999647140503,88.13999891281128,1.6483632326126099,0.15862909453919913,0.9105626080522508
ce,0,3,10.300000011920929,ce_head,5.9599995613098145,-18.800000846385956,10.300000011920929,0.9800000116229057,15.279999375343323,100.0,1.1086411476135254,0.0,0.7786973466635764
ce,0,3,10.300000011920929,ce_lowlr,14.579999446868896,-10.180000960826874,6.480000168085098,0.8799999952316284,20.180000364780426,82.41999745368958,1.2515536546707153,0.03236653096758516,0.3618503409064407
ce,0,4,32.28000104427338,kd,2.4800002574920654,0.0,18.400000035762787,1.5200000256299973,19.359999895095825,70.99999785423279,0.6671785712242126,0.10787761177557414,0.3777785692570974
ce,0,4,32.28000104427338,ce,9.89999771118164,7.419997453689575,11.400000005960464,3.799999877810478,17.499999701976776,58.09999704360962,0.5261017680168152,0.14647348380908284,0.4362886968723325
ce,0,4,32.28000104427338,ce_head,2.899998426437378,0.4199981689453125,7.680000364780426,2.280000038444996,8.299999684095383,33.5999995470047,0.1038387343287468,0.0,0.5461989486789259
ce,0,4,32.28000104427338,ce_lowlr,8.539998531341553,6.059998273849487,6.939999759197235,2.7400000020861626,12.73999959230423,41.53999984264374,0.17151527106761932,0.026010481049184245,0.099374509095917
