cond,seed,round,student,pre_acc,arm,val_acc_change,val_agree_peer_change,val_broken,val_fixed_peer_agree,val_fixed_peer_disagree,val_changed,val_changed_to_peer,val_kl,val_conf_change,val_share_wrong_agree_peer,val_share_wrong_disagree_peer,val_agree_peer_before,val_acc_before,train_acc_change,train_agree_peer_change,train_broken,train_fixed_peer_agree,train_fixed_peer_disagree,train_changed,train_changed_to_peer,train_kl,train_conf_change,train_share_wrong_agree_peer,train_share_wrong_disagree_peer,train_agree_peer_before,train_acc_before,weight_change_backbone,weight_change_head,swap_new_backbone_old_head,swap_old_backbone_new_head
CE-shaped,0,1,2,9.759999811649323,ce,30.78000098466873,5.339999496936798,6.560000032186508,2.8599999845027924,34.47999954223633,87.8000020980835,11.59999966621399,1.5105113983154297,0.2246028035879135,6.700000166893005,83.53999853134155,7.739999890327454,9.759999811649323,30.800001323223114,5.640000104904175,6.74000009894371,2.9999999329447746,34.540000557899475,88.12000155448914,11.940000206232071,1.5502712726593018,0.23037207126617432,6.89999982714653,82.9800009727478,7.5599998235702515,10.119999945163727,0.4542180938981266,4.772118758498309,3.6799997091293335,0.9199999272823334
CE-shaped,0,1,2,9.759999811649323,kd,0.3600001335144043,84.30000245571136,9.759999811649323,0.800000037997961,9.319999814033508,100.0,92.04000234603882,0.5818517804145813,0.20816484093666077,6.700000166893005,83.53999853134155,7.739999890327454,9.759999811649323,0.06000027060508728,84.81999933719635,10.119999945163727,0.9200000204145908,9.26000028848648,100.0,92.3799991607666,0.5821588635444641,0.2070435732603073,6.89999982714653,82.9800009727478,7.5599998235702515,10.119999945163727,0.6295920116254906,5.840490543011154,-1.199999451637268,0.3600001335144043
CE-shaped,0,2,5,33.52000117301941,ce,9.73999798297882,4.45999801158905,11.240000277757645,5.079999938607216,15.899999439716339,56.08000159263611,21.639999747276306,0.37331119179725647,0.018677158281207085,21.860000491142273,44.62000131607056,43.02000105381012,33.52000117301941,10.64000129699707,3.2800018787384033,11.079999804496765,5.719999969005585,15.999999642372131,55.19999861717224,20.800000429153442,0.36607328057289124,0.021286386996507645,23.319999873638153,42.399999499320984,45.33999860286713,34.279999136924744,0.12734492074880097,0.31130875061021795,7.659998536109924,1.7999976873397827
CE-shaped,0,2,5,33.52000117301941,kd,6.000000238418579,35.260000824928284,11.400000005960464,1.3199999928474426,16.07999950647354,52.560001611709595,40.459999442100525,0.5110400915145874,0.06912243366241455,21.860000491142273,44.62000131607056,43.02000105381012,33.52000117301941,6.020000576972961,33.7799996137619,11.540000140666962,1.2799999676644802,16.279999911785126,52.10000276565552,39.25999999046326,0.5108115077018738,0.07369932532310486,23.319999873638153,42.399999499320984,45.33999860286713,34.279999136924744,0.1078788080427933,0.27770191929494864,2.499997615814209,1.4200001955032349
CE-shaped,0,3,6,39.46000039577484,ce,6.939998269081116,-5.04000186920166,12.039999663829803,7.159999758005142,11.819999665021896,52.42000222206116,16.699999570846558,0.5279685258865356,0.10654570162296295,27.219998836517334,33.320000767707825,56.08000159263611,39.46000039577484,6.42000138759613,-2.8199970722198486,12.620000541210175,6.639999896287918,12.399999797344208,52.139997482299805,17.880000174045563,0.499636173248291,0.11283984035253525,26.62000060081482,33.30000042915344,56.31999969482422,40.07999897003174,0.1342740670778714,0.39450112099103724,7.919999957084656,-0.0800013542175293
CE-shaped,0,3,6,39.46000039577484,kd,-0.3600001335144043,18.219995498657227,13.699999451637268,2.239999920129776,11.100000143051147,47.440001368522644,29.559999704360962,0.47210240364074707,0.07985348254442215,27.219998836517334,33.320000767707825,56.08000159263611,39.46000039577484,0.339999794960022,17.479997873306274,13.600000739097595,2.1800000220537186,11.760000139474869,46.560001373291016,28.880000114440918,0.43818360567092896,0.0793793797492981,26.62000060081482,33.30000042915344,56.31999969482422,40.07999897003174,0.09849814625858673,0.29770988473581034,1.9600003957748413,-0.8599996566772461
CE-shaped,0,4,4,44.74000036716461,ce,-8.75999927520752,-10.659998655319214,22.679999470710754,4.100000113248825,9.82000008225441,63.71999979019165,15.080000460147858,1.0563099384307861,0.06251499056816101,18.780000507831573,36.480000615119934,51.31999850273132,44.74000036716461,-8.5999995470047,-10.780000686645508,23.05999994277954,3.8199998438358307,10.639999806880951,63.179999589920044,15.09999930858612,1.080868124961853,0.05857739970088005,17.960000038146973,35.87999939918518,51.48000121116638,46.16000056266785,0.14943819312093887,0.2895188680603646,-7.719999551773071,2.4199992418289185
CE-shaped,0,4,4,44.74000036716461,kd,3.0999988317489624,24.720001220703125,11.860000342130661,1.4800000004470348,13.48000019788742,44.40000057220459,30.779999494552612,0.435136616230011,0.013516911305487156,18.780000507831573,36.480000615119934,51.31999850273132,44.74000036716461,2.8400003910064697,24.27999973297119,11.840000003576279,1.0200000368058681,13.660000264644623,43.16000044345856,29.980000853538513,0.4185614287853241,0.016220321878790855,17.960000038146973,35.87999939918518,51.48000121116638,46.16000056266785,0.10988231180398536,0.29753089521807713,2.2599995136260986,0.7200002670288086
CE-shaped,0,5,2,48.44000041484833,ce,6.820002198219299,0.9400010108947754,9.200000017881393,4.259999841451645,11.760000139474869,39.9399995803833,13.040000200271606,0.3436252474784851,0.0379515215754509,16.539999842643738,35.019999742507935,50.72000026702881,48.44000041484833,7.740002870559692,-0.7200002670288086,8.28000009059906,4.619999974966049,11.400000005960464,37.779998779296875,12.300000339746475,0.32048332691192627,0.042335253208875656,16.95999950170517,32.83999860286713,52.57999897003174,50.199997425079346,0.1512781345504526,0.27584492180830755,7.399997115135193,-0.7200002670288086
CE-shaped,0,5,2,48.44000041484833,kd,2.159997820854187,28.24000120162964,14.239999651908875,1.5200000256299973,14.880000054836273,49.66000020503998,35.35999953746796,0.3804370164871216,-0.01654726453125477,16.539999842643738,35.019999742507935,50.72000026702881,48.44000041484833,-0.279998779296875,24.900001287460327,14.920000731945038,1.2600000016391277,13.379999995231628,47.54000008106232,32.55999982357025,0.3642331063747406,-0.018254389986395836,16.95999950170517,32.83999860286713,52.57999897003174,50.199997425079346,0.10201619430867215,0.280210805301498,2.000001072883606,0.5999982357025146
CE-shaped,0,6,8,50.700002908706665,ce,6.739997863769531,2.4200022220611572,8.720000088214874,4.179999977350235,11.28000020980835,36.53999865055084,14.180000126361847,0.31765738129615784,0.05282813683152199,17.479999363422394,31.81999921798706,56.859999895095825,50.700002908706665,7.279998064041138,2.460002899169922,9.080000221729279,4.239999875426292,12.120000272989273,37.02000081539154,14.540000259876251,0.31637850403785706,0.054909318685531616,17.28000044822693,30.700001120567322,58.45999717712402,52.02000141143799,0.15493994641074954,0.29501393503372203,6.15999698638916,-0.6200015544891357
CE-shaped,0,6,8,50.700002908706665,kd,0.6199955940246582,19.539999961853027,13.660000264644623,1.3799999840557575,12.89999932050705,45.33999860286713,28.259998559951782,0.6164723038673401,0.10659603029489517,17.479999363422394,31.81999921798706,56.859999895095825,50.700002908706665,1.0599970817565918,18.160003423690796,13.420000672340393,1.5200000256299973,12.960000336170197,43.99999976158142,27.239999175071716,0.6082651615142822,0.1154530793428421,17.28000044822693,30.700001120567322,58.45999717712402,52.02000141143799,0.14026207579105687,0.31367500177390395,2.6399970054626465,-2.1000027656555176
CE-shaped,0,7,7,51.920002698898315,ce,6.839996576309204,0.31999945640563965,10.920000076293945,5.000000074505806,12.759999930858612,41.600000858306885,15.979999303817749,0.5335988402366638,0.05100960284471512,19.87999975681305,28.200000524520874,61.41999959945679,51.920002698898315,5.239999294281006,-0.2200007438659668,11.680000275373459,4.899999871850014,12.02000007033348,41.56000018119812,15.940000116825104,0.5293245315551758,0.052223168313503265,18.780000507831573,27.300000190734863,62.73999810218811,53.92000079154968,0.16007252971619595,0.28369646169627705,7.319998741149902,-0.820004940032959
CE-shaped,0,7,7,51.920002698898315,kd,3.5399973392486572,18.73999834060669,9.66000035405159,1.339999958872795,11.860000342130661,34.700000286102295,24.19999986886978,0.29026463627815247,0.007150670047849417,19.87999975681305,28.200000524520874,61.41999959945679,51.920002698898315,3.07999849319458,18.040001392364502,9.279999881982803,1.2799999676644802,11.079999804496765,33.480000495910645,23.420000076293945,0.28135836124420166,0.00019371065718587488,18.780000507831573,27.300000190734863,62.73999810218811,53.92000079154968,0.10540555443680487,0.2788962859627659,4.240000247955322,-0.8800029754638672
CE-shaped,0,8,6,57.03999996185303,ce,1.7400026321411133,-2.2800028324127197,11.43999993801117,3.6800000816583633,9.49999988079071,37.059998512268066,11.959999799728394,0.44703173637390137,0.0683944970369339,15.780000388622284,27.180001139640808,60.18000245094299,57.03999996185303,3.359997272491455,-0.7600009441375732,9.640000015497208,3.4400001168251038,9.560000151395798,33.34000110626221,11.51999980211258,0.42568936944007874,0.0709516629576683,15.5799999833107,26.759999990463257,60.32000184059143,57.66000151634216,0.14980122449495073,0.281748054334206,2.060002088546753,-0.6200015544891357
