mode,teacher,seed,epoch,phase,lr,val_acc,delta_acc,val_loss,probe_ce_loss,branch_kd_val_acc,pre_acc,phase1_epochs
ce_only,none,0,1,ce,0.1,39.80000019073486,29.240000247955322,1.6069639921188354,1.561855453491211,,10.559999942779541,50
ce_only,none,0,2,ce,0.1,47.519999742507935,7.719999551773071,1.4715988636016846,1.418669708251953,,39.80000019073486,50
ce_only,none,0,3,ce,0.1,50.940001010894775,3.420001268386841,1.5042164325714111,1.478540478515625,,47.519999742507935,50
ce_only,none,0,4,ce,0.1,60.64000129699707,9.700000286102295,1.1090941429138184,1.0539949127197266,,50.940001010894775,50
ce_only,none,0,5,ce,0.1,62.84000277519226,2.2000014781951904,1.0633867979049683,0.9765083160400391,,60.64000129699707,50
ce_only,none,0,6,ce,0.1,66.15999937057495,3.3199965953826904,1.0022932291030884,0.9396580459594727,,62.84000277519226,50
ce_only,none,0,7,ce,0.1,69.01999711990356,2.8599977493286133,0.9098846912384033,0.8266236663818359,,66.15999937057495,50
ce_only,none,0,8,ce,0.1,71.07999920845032,2.060002088546753,0.8337223529815674,0.7613882904052734,,69.01999711990356,50
ce_only,none,0,9,ce,0.1,69.31999921798706,-1.7599999904632568,0.8797231316566467,0.7926633361816406,,71.07999920845032,50
ce_only,none,0,10,ce,0.1,71.93999886512756,2.619999647140503,0.8396144509315491,0.7335291336059571,,69.31999921798706,50
ce_only,none,0,11,ce,0.1,72.7400004863739,0.8000016212463379,0.8105913996696472,0.6925665161132812,,71.93999886512756,50
ce_only,none,0,12,ce,0.1,71.92000150680542,-0.8199989795684814,0.8216525316238403,0.7389447341918945,,72.7400004863739,50
ce_only,none,0,13,ce,0.1,76.09999775886536,4.1799962520599365,0.7034640908241272,0.6214541564941406,,71.92000150680542,50
ce_only,none,0,14,ce,0.1,73.65999817848206,-2.439999580383301,0.7652167677879333,0.6523212554931641,,76.09999775886536,50
ce_only,none,0,15,ce,0.1,74.76000189781189,1.100003719329834,0.7261559367179871,0.6360989410400391,,73.65999817848206,50
ce_only,none,0,16,ce,0.1,75.99999904632568,1.239997148513794,0.7300152778625488,0.6091052215576171,,74.76000189781189,50
ce_only,none,0,17,ce,0.1,75.80000162124634,-0.1999974250793457,0.7079042196273804,0.5951551254272461,,75.99999904632568,50
ce_only,none,0,18,ce,0.1,74.05999898910522,-1.7400026321411133,0.7996189594268799,0.670542903137207,,75.80000162124634,50
ce_only,none,0,19,ce,0.1,74.73999857902527,0.679999589920044,0.7281780242919922,0.602418734741211,,74.05999898910522,50
ce_only,none,0,20,ce,0.1,78.21999788284302,3.479999303817749,0.6512621641159058,0.5371550155639648,,74.73999857902527,50
ce_only,none,0,21,ce,0.1,73.78000020980835,-4.439997673034668,0.7857991456985474,0.6531675491333008,,78.21999788284302,50
ce_only,none,0,22,ce,0.1,76.21999979019165,2.439999580383301,0.6966645121574402,0.5289982635498047,,73.78000020980835,50
ce_only,none,0,23,ce,0.1,77.35999822616577,1.139998435974121,0.6558343768119812,0.5223137260437012,,76.21999979019165,50
ce_only,none,0,24,ce,0.1,76.31999850273132,-1.0399997234344482,0.7118471264839172,0.5608744522094726,,77.35999822616577,50
ce_only,none,0,25,ce,0.1,78.35999727249146,2.039998769760132,0.6555716395378113,0.5101894195556641,,76.31999850273132,50
ce_only,none,0,26,ce,0.1,79.14000153541565,0.7800042629241943,0.6154382228851318,0.48052791900634767,,78.35999727249146,50
ce_only,none,0,27,ce,0.1,78.43999862670898,-0.700002908706665,0.6345796585083008,0.48131365661621095,,79.14000153541565,50
