mode,teacher,seed,epoch,phase,lr,val_acc,delta_acc,val_loss,probe_ce_loss,branch_kd_val_acc,pre_acc,d_CE,d_KD,CE_minus_KD,pre_bin
interleaved,ce_e100,0,5,ce,0.1,67.58000254631042,7.840001583099365,0.919144332408905,0.8645044967651367,57.6200008392334,59.74000096321106,7.840001583099365,-2.120000123977661,9.960001707077026,"(0.0, 60.0]"
interleaved,ce_e100,0,10,ce,0.1,77.42000222206116,4.06000018119812,0.6693267822265625,0.599940673828125,71.21999859809875,73.36000204086304,4.06000018119812,-2.1400034427642822,6.200003623962402,"(72.5, 75.0]"
interleaved,ce_e100,0,15,ce,0.1,77.84000039100647,1.6200006008148193,0.6507094502449036,0.5428633377075195,77.64000296592712,76.21999979019165,1.6200006008148193,1.4200031757354736,0.1999974250793457,"(75.0, 77.5]"
interleaved,ce_e100,0,20,ce,0.1,79.91999983787537,3.299999237060547,0.5869652628898621,0.4647339111328125,77.97999978065491,76.62000060081482,3.299999237060547,1.359999179840088,1.940000057220459,"(75.0, 77.5]"
interleaved,ce_e100,0,25,ce,0.1,81.67999982833862,4.5799970626831055,0.5712857842445374,0.4285500175476074,75.95999836921692,77.10000276565552,4.5799970626831055,-1.1400043964385986,5.720001459121704,"(75.0, 77.5]"
interleaved,ce_e100,0,30,ce,0.1,82.4400007724762,2.740001678466797,0.5384950637817383,0.3936516326904297,78.92000079154968,79.6999990940094,2.740001678466797,-0.7799983024597168,3.5199999809265137,"(77.5, 80.0]"
interleaved,ce_e100,0,35,ce,0.1,82.40000009536743,4.400002956390381,0.5293096899986267,0.36488583297729493,79.36000227928162,77.99999713897705,4.400002956390381,1.3600051403045654,3.0399978160858154,"(77.5, 80.0]"
interleaved,ce_e100,0,40,ce,0.1,82.16000199317932,3.5600006580352783,0.5272207260131836,0.386894962310791,80.98000288009644,78.60000133514404,3.5600006580352783,2.3800015449523926,1.1799991130828857,"(77.5, 80.0]"
interleaved,ce_e100,0,45,ce,0.1,81.84000253677368,2.060002088546753,0.5468183159828186,0.3775773506164551,80.94000220298767,79.78000044822693,2.060002088546753,1.1600017547607422,0.9000003337860107,"(77.5, 80.0]"
interleaved,ce_e100,0,50,ce,0.1,82.59999752044678,5.119997262954712,0.5391544699668884,0.3482998748779297,81.44000172615051,77.48000025749207,5.119997262954712,3.9600014686584473,1.1599957942962646,"(75.0, 77.5]"
interleaved,ce_e100,0,55,ce,0.1,83.07999968528748,2.920001745223999,0.5297133922576904,0.3525001937866211,79.68000173568726,80.15999794006348,2.920001745223999,-0.4799962043762207,3.3999979496002197,"(80.0, 82.5]"
interleaved,ce_e100,0,60,ce,0.1,82.08000063896179,1.7599999904632568,0.5456642508506775,0.37428312911987305,80.0599992275238,80.32000064849854,1.7599999904632568,-0.26000142097473145,2.0200014114379883,"(80.0, 82.5]"
interleaved,ce_e100,0,65,ce,0.1,82.89999961853027,1.7599999904632568,0.5314611792564392,0.34309709548950196,81.76000118255615,81.13999962806702,1.7599999904632568,0.6200015544891357,1.139998435974121,"(80.0, 82.5]"
interleaved,ce_e100,0,70,ce,0.1,83.25999975204468,1.359999179840088,0.5366145372390747,0.3397892906188965,81.84000253677368,81.90000057220459,1.359999179840088,-0.0599980354309082,1.419997215270996,"(80.0, 82.5]"
interleaved,ce_e100,0,75,ce,0.1,83.12000036239624,3.2800018787384033,0.5203732848167419,0.3332852195739746,80.37999868392944,79.83999848365784,3.2800018787384033,0.5400002002716064,2.740001678466797,"(77.5, 80.0]"
interleaved,ce_e100,0,80,ce,0.1,82.38000273704529,0.5200028419494629,0.5493518710136414,0.35298357009887693,81.01999759674072,81.85999989509583,0.5200028419494629,-0.8400022983551025,1.3600051403045654,"(80.0, 82.5]"
interleaved,ce_e100,1,5,ce,0.1,69.0999984741211,3.9200007915496826,0.8994012475013733,0.8351067932128906,68.81999969482422,65.17999768257141,3.9200007915496826,3.6400020122528076,0.279998779296875,"(65.0, 70.0]"
interleaved,ce_e100,1,10,ce,0.1,76.34000182151794,4.4400036334991455,0.6959619522094727,0.5992808944702148,72.46000170707703,71.8999981880188,4.4400036334991455,0.5600035190582275,3.880000114440918,"(70.0, 72.5]"
