method,model_idx,sigma,repeat,accuracy,loss,acc_drop,loss_increase
CE,1,0.2,2,76.39,0.9705323194503784,10.400000000000006,0.4611397857189179
CE,1,0.2,3,70.69,1.4153117111206055,16.10000000000001,0.905919177389145
CE,1,0.2,4,72.13,1.2779366719722747,14.66000000000001,0.7685441382408141
CE,2,0.0,0,86.28,0.5284542834281921,0.0,0.0
CE,2,0.01,0,86.22,0.5286788793563842,0.060000000000002274,0.00022459592819212837
CE,2,0.01,1,86.39,0.5307638401031494,-0.10999999999999943,0.002309556674957247
CE,2,0.01,2,86.34,0.5307975001335145,-0.060000000000002274,0.0023432167053223374
CE,2,0.01,3,86.29,0.5282217088699341,-0.010000000000005116,-0.0002325745582579808
CE,2,0.01,4,86.26,0.5280448897838592,0.01999999999999602,-0.0004093936443329005
CE,2,0.02,0,86.08,0.5322286577224732,0.20000000000000284,0.0037743742942810687
CE,2,0.02,1,86.28,0.534466623210907,0.0,0.006012339782714871
CE,2,0.02,2,86.32,0.5350130621910095,-0.03999999999999204,0.006558778762817408
CE,2,0.02,3,86.29,0.5297717088699341,-0.010000000000005116,0.0013174254417419595
CE,2,0.02,4,86.26,0.5303077180862427,0.01999999999999602,0.0018534346580505456
CE,2,0.05,0,85.17,0.5634852001190186,1.1099999999999994,0.035030916690826475
CE,2,0.05,1,86.07,0.5517623600959778,0.21000000000000796,0.02330807666778567
CE,2,0.05,2,85.75,0.5592631319999695,0.5300000000000011,0.030808848571777347
CE,2,0.05,3,85.81,0.544198441696167,0.46999999999999886,0.015744158267974928
CE,2,0.05,4,85.87,0.5537933869838715,0.4099999999999966,0.025339103555679365
CE,2,0.1,0,82.79,0.6878228960990905,3.489999999999995,0.1593686126708984
CE,2,0.1,1,84.68,0.613263098526001,1.5999999999999943,0.08480881509780891
CE,2,0.1,2,84.16,0.6384596231460571,2.1200000000000045,0.11000533971786497
CE,2,0.1,3,84.44,0.6116145253658295,1.8400000000000034,0.08316024193763738
CE,2,0.1,4,83.54,0.6566554438591004,2.739999999999995,0.12820116043090823
CE,2,0.2,0,70.27,1.2679564712524414,16.010000000000005,0.7395021878242493
CE,2,0.2,1,78.03,0.9219547949790955,8.25,0.3935005115509034
CE,2,0.2,2,76.9,0.963999059009552,9.379999999999995,0.43554477558135984
CE,2,0.2,3,76.47,0.9719866297721863,9.810000000000002,0.4435323463439942
CE,2,0.2,4,74.57,1.130653120613098,11.710000000000008,0.602198837184906
CE,3,0.0,0,86.64,0.5227265665531159,0.0,0.0
CE,3,0.01,0,86.67,0.5243643184661865,-0.030000000000001137,0.0016377519130705842
CE,3,0.01,1,86.75,0.523987214422226,-0.10999999999999943,0.0012606478691100653
CE,3,0.01,2,86.84,0.5235897162437438,-0.20000000000000284,0.0008631496906279512
CE,3,0.01,3,86.72,0.5258435568332672,-0.0799999999999983,0.0031169902801513327
CE,3,0.01,4,86.7,0.5210615642547607,-0.060000000000002274,-0.0016650022983552004
CE,3,0.02,0,86.56,0.5276376623153687,0.0799999999999983,0.004911095762252793
CE,3,0.02,1,86.78,0.526677218914032,-0.14000000000000057,0.003950652360916074
CE,3,0.02,2,86.75,0.5261264948844909,-0.10999999999999943,0.003399928331375035
CE,3,0.02,3,86.7,0.5315940128803254,-0.060000000000002274,0.008867446327209483
CE,3,0.02,4,86.62,0.52188371591568,0.01999999999999602,-0.0008428506374359435
CE,3,0.05,0,86.12,0.5470636823654175,0.519999999999996,0.02433711581230158
CE,3,0.05,1,86.62,0.5454048569202423,0.01999999999999602,0.02267829036712643
CE,3,0.05,2,86.46,0.5431948716163635,0.18000000000000682,0.020468305063247594
CE,3,0.05,3,86.36,0.5645579988956452,0.28000000000000114,0.041831432342529284
CE,3,0.05,4,86.31,0.5387193040370941,0.3299999999999983,0.015992737483978225
CE,3,0.1,0,84.49,0.6175153942108155,2.1500000000000057,0.09478882765769958
CE,3,0.1,1,85.35,0.6144488832950592,1.2900000000000063,0.09172231674194331
CE,3,0.1,2,84.81,0.6095542318344116,1.8299999999999983,0.08682766528129571
CE,3,0.1,3,84.44,0.6727685131549835,2.200000000000003,0.15004194660186765
CE,3,0.1,4,84.12,0.6248164098262787,2.519999999999996,0.10208984327316284
CE,3,0.2,0,76.21,0.9941204444885254,10.430000000000007,0.47139387793540954
CE,3,0.2,1,78.88,0.9281155059814453,7.760000000000005,0.40538893942832943
CE,3,0.2,2,76.94,0.9651601006507874,9.700000000000003,0.4424335340976715
CE,3,0.2,3,73.98,1.2223474208831786,12.659999999999997,0.6996208543300627
CE,3,0.2,4,72.65,1.190242507171631,13.989999999999995,0.667515940618515
CE,4,0.0,0,86.55,0.5171417807579041,0.0,0.0
CE,4,0.01,0,86.75,0.5171584906578064,-0.20000000000000284,1.6709899902322967e-05
CE,4,0.01,1,86.54,0.5162728172302246,0.009999999999990905,-0.0008689635276795116
CE,4,0.01,2,86.64,0.5182245890617371,-0.09000000000000341,0.001082808303833005
CE,4,0.01,3,86.65,0.5155927968025208,-0.10000000000000853,-0.0015489839553832763
CE,4,0.01,4,86.65,0.5178841951847076,-0.10000000000000853,0.0007424144268035615
CE,4,0.02,0,86.67,0.5188022497177124,-0.12000000000000455,0.0016604689598083144
