group,seed,round_index,relative_round,phase,val_acc,delta_acc,cos_ce_kl,g_ce_norm,g_kl_norm
0.1,123,1,-99,kl,39.98,30.479999999999997,0.2265133112668991,0.3857369124889374,1.982589840888977
0.1,123,2,-98,kl,44.32,4.340000000000003,0.4643477201461792,0.4890587031841278,2.1885008811950684
0.1,123,3,-97,kl,54.5,10.18,0.26750805974006653,0.46010109782218933,2.1964433193206787
0.1,123,4,-96,kl,57.78,3.280000000000001,0.46372124552726746,0.49523812532424927,2.120199203491211
0.1,123,5,-95,kl,63.72,5.939999999999998,0.3523610234260559,0.408500075340271,1.7672913074493408
0.1,123,6,-94,kl,64.92,1.2000000000000028,0.3407323956489563,0.39414170384407043,1.9247374534606934
0.1,123,7,-93,kl,68.84,3.9200000000000017,0.3502151370048523,0.3851202130317688,1.7542188167572021
0.1,123,8,-92,kl,69.28,0.4399999999999977,0.4470607042312622,0.3997707962989807,1.6910456418991089
0.1,123,9,-91,kl,72.2,2.9200000000000017,0.35853496193885803,0.4005042314529419,1.6046563386917114
0.1,123,10,-90,kl,70.82,-1.3800000000000097,0.35689932107925415,0.3731248080730438,1.4798893928527832
0.1,123,11,-89,kl,73.0,2.180000000000007,0.3975770175457001,0.3039396107196808,1.7068066596984863
0.1,123,12,-88,kl,72.7,-0.29999999999999716,0.3418528735637665,0.377797931432724,1.8030827045440674
0.1,123,13,-87,kl,73.92,1.2199999999999989,0.4540838897228241,0.47012239694595337,1.4805630445480347
0.1,123,14,-86,kl,75.74,1.8199999999999932,0.3389652967453003,0.3781586289405823,1.2602252960205078
0.1,123,15,-85,kl,76.84,1.1000000000000085,0.30099934339523315,0.3531494438648224,1.0102022886276245
0.1,123,16,-84,kl,75.72,-1.1200000000000045,0.4465290307998657,0.43046435713768005,1.407080054283142
0.1,123,17,-83,kl,77.4,1.6800000000000068,0.37858283519744873,0.3993634581565857,1.5521655082702637
0.1,123,18,-82,kl,74.88,-2.5200000000000102,0.5076057314872742,0.4523591101169586,1.564215064048767
0.1,123,19,-81,kl,74.5,-0.37999999999999545,0.7025593519210815,0.6181132197380066,1.8728898763656616
0.1,123,20,-80,kl,77.8,3.299999999999997,0.44967418909072876,0.45846375823020935,1.2939859628677368
0.1,123,21,-79,kl,77.58,-0.21999999999999886,0.5978678464889526,0.5020262002944946,1.3972949981689453
0.1,123,22,-78,kl,76.98,-0.5999999999999943,0.37853047251701355,0.3878514766693115,1.3913699388504028
0.1,123,23,-77,kl,77.74,0.7599999999999909,0.5884356498718262,0.5184574723243713,1.583156943321228
0.1,123,24,-76,kl,77.44,-0.29999999999999716,0.4564942717552185,0.4384671449661255,1.4166032075881958
0.1,123,25,-75,kl,77.8,0.35999999999999943,0.4942178726196289,0.45255047082901,1.3542641401290894
0.1,123,26,-74,kl,77.44,-0.35999999999999943,0.501274824142456,0.48341435194015503,1.477634310722351
0.1,123,27,-73,kl,78.52,1.0799999999999983,0.5530681610107422,0.4600332975387573,1.3405802249908447
0.1,123,28,-72,kl,79.06,0.5400000000000063,0.5073451995849609,0.43477916717529297,1.4471418857574463
