metric,mean,std,variance
student_test_acc,83.44500000000001,0.47883713306300507,0.22928499999999802
student_test_acc_no_oracle,83.18599999999999,0.6478147883461763,0.4196640000000012
ensemble_acc_logprob,81.532,1.2419323653081928,1.5423960000000028
ensemble_acc_prob,81.41,1.3210828891481416,1.7452600000000011
ensemble_acc_logit,81.532,1.2419323653081928,1.5423960000000028
avg_ens_acc,81.532,1.2419323653081928,1.5423960000000028
avg_learner_acc,78.95044444444444,1.3469054793749837,1.8141543703703547
avg_ens_conf,0.775392966556549,0.021047975421078436,0.00044301726932632196
mean_pairwise_disagreement,0.1466544471681118,0.018207667089998218,0.0003315191408602042
model_acc_std,1.3914457406475476,0.5621227274451206,0.3159819607103413
model_acc_var,2.2521032098765437,1.739464979837958,3.0257384160826675
