metric,mean,std,variance
student_test_acc,83.488,0.7903518203939331,0.624656000000004
student_test_acc_no_oracle,83.12400000000001,0.8096937692732991,0.6556040000000024
ensemble_acc_logprob,81.82,1.6826823823883104,2.83142
ensemble_acc_prob,81.762,1.744538907562684,3.043416000000003
ensemble_acc_logit,81.82,1.6826823823883104,2.83142
avg_ens_acc,81.82,1.6826823823883104,2.83142
avg_learner_acc,80.37377777777778,1.5887460852687545,2.5241141234567923
avg_ens_conf,0.8152775668525696,0.012452057550414834,0.0001550537372388431
mean_pairwise_disagreement,0.10713471993803977,0.00886503545375916,7.858885359640688e-05
model_acc_std,1.1233392776589493,0.456929881547907,0.2087849166513843
model_acc_var,1.4706760493827142,1.0370023677101954,1.0753739106365514
