metric,mean,std,variance
student_test_acc,83.579,0.5935562315400295,0.35230900000000104
student_test_acc_no_oracle,83.413,0.6751451695746636,0.45582100000000125
ensemble_acc_logprob,81.998,1.4840471690616825,2.202395999999994
ensemble_acc_prob,82.023,1.5218938859197766,2.316160999999998
ensemble_acc_logit,81.998,1.4840471690616825,2.202395999999994
avg_ens_acc,81.998,1.4840471690616825,2.202395999999994
avg_learner_acc,79.27722222222222,1.4468880398980435,2.0934850000000025
avg_ens_conf,0.7760594567298889,0.0209443226563286,0.00043866465153239955
mean_pairwise_disagreement,0.14974500238895416,0.019572011843529385,0.0003830636476032545
model_acc_std,1.8248795466232235,0.6451896636219594,0.41626970204461716
model_acc_var,3.7464550617284,2.1226066278787026,4.505458896714598
