mode,teacher,seed,epoch,phase,lr,train_loss,val_acc,val_loss,val_ece,val_conf,val_agree,delta_acc,probe_ce_loss,probe_acc,probe_ce_grad_norm,relative_epoch
ce_only,none,0,1,ce,0.1,2.0878185932371354,39.80000019073486,1.6069639921188354,0.04839657018815542,0.4433528184890747,,29.240000247955322,1.561855453491211,41.14,0.5632943598548626,-99
ce_only,none,0,2,ce,0.1,1.5523995112313165,47.519999742507935,1.4715988636016846,0.053914118234653474,0.5291141271591187,,7.719999551773071,1.418669708251953,48.06,1.377363062284239,-98
ce_only,none,0,3,ce,0.1,1.376594643995497,50.940001010894775,1.5042164325714111,0.10320148947164015,0.6122292280197144,,3.420001268386841,1.478540478515625,50.48,3.8566313301502575,-97
ce_only,none,0,4,ce,0.1,1.2367354714287653,60.64000129699707,1.1090941429138184,0.03665865186362646,0.6402446031570435,,9.700000286102295,1.0539949127197266,62.88,1.171615356979092,-96
ce_only,none,0,5,ce,0.1,1.1188522113906012,62.84000277519226,1.0633867979049683,0.03057344337386224,0.6517283916473389,,2.2000014781951904,0.9765083160400391,65.16,1.0777908272395489,-95
ce_only,none,0,6,ce,0.1,1.0439431939866808,66.15999937057495,1.0022932291030884,0.0450441402355193,0.6981544494628906,,3.3199965953826904,0.9396580459594727,67.14,1.060151677106716,-94
ce_only,none,0,7,ce,0.1,0.9903206770155165,69.01999711990356,0.9098846912384033,0.052531337611146534,0.7415036559104919,,2.8599977493286133,0.8266236663818359,71.1,1.0694119508707245,-93
ce_only,none,0,8,ce,0.1,0.9247643819808959,71.07999920845032,0.8337223529815674,0.009606469098252697,0.7087217569351196,,2.060002088546753,0.7613882904052734,73.74,0.48046825129533305,-92
ce_only,none,0,9,ce,0.1,0.8866591590245565,69.31999921798706,0.8797231316566467,0.028470393418181653,0.714359700679779,,-1.7599999904632568,0.7926633361816406,72.26,1.024411482365659,-91
ce_only,none,0,10,ce,0.1,0.8489370497597588,71.93999886512756,0.8396144509315491,0.03590082450155335,0.7517969012260437,,2.619999647140503,0.7335291336059571,74.28,0.9130069981404313,-90
ce_only,none,0,11,ce,0.1,0.8120042705959744,72.7400004863739,0.8105913996696472,0.03180507933898316,0.757128119468689,,0.8000016212463379,0.6925665161132812,75.74,0.9769149588758117,-89
ce_only,none,0,12,ce,0.1,0.7861430569224888,71.92000150680542,0.8216525316238403,0.03714385092946164,0.7554852366447449,,-0.8199989795684814,0.7389447341918945,74.46,1.1935908067733112,-88
ce_only,none,0,13,ce,0.1,0.7637794965585073,76.09999775886536,0.7034640908241272,0.018765871841320926,0.7781108617782593,,4.1799962520599365,0.6214541564941406,77.86,0.6268524833739163,-87
ce_only,none,0,14,ce,0.1,0.7415892205132378,73.65999817848206,0.7652167677879333,0.03014678418591342,0.7646952867507935,,-2.439999580383301,0.6523212554931641,78.08,0.9688824160692223,-86
ce_only,none,0,15,ce,0.1,0.7356039311726889,74.76000189781189,0.7261559367179871,0.024205611654826993,0.7695281505584717,,1.100003719329834,0.6360989410400391,78.0,0.6942103654373001,-85
ce_only,none,0,16,ce,0.1,0.7231690537558662,75.99999904632568,0.7300152778625488,0.04069429610053237,0.800158679485321,,1.239997148513794,0.6091052215576171,79.54,0.6016890170647663,-84
ce_only,none,0,17,ce,0.1,0.7099959272384644,75.80000162124634,0.7079042196273804,0.027969102899771635,0.7822209000587463,,-0.1999974250793457,0.5951551254272461,79.84,0.6885056160548819,-83
ce_only,none,0,18,ce,0.1,0.6868267931408353,74.05999898910522,0.7996189594268799,0.06815014513119216,0.8054950833320618,,-1.7400026321411133,0.670542903137207,76.86,1.406546093236515,-82
ce_only,none,0,19,ce,0.1,0.6741417657083936,74.73999857902527,0.7281780242919922,0.04611513682837001,0.7916972637176514,,0.679999589920044,0.602418734741211,78.74,0.9562236360266847,-81
ce_only,none,0,20,ce,0.1,0.658350580628713,78.21999788284302,0.6512621641159058,0.03351333153555894,0.8152450919151306,,3.479999303817749,0.5371550155639648,81.92,0.5621843850884982,-80
ce_only,none,0,21,ce,0.1,0.6476214180840386,73.78000020980835,0.7857991456985474,0.05673948275408306,0.7911324501037598,,-4.439997673034668,0.6531675491333008,77.38,1.3886842097427405,-79
ce_only,none,0,22,ce,0.1,0.6500966597557067,76.21999979019165,0.6966645121574402,0.03607589392981232,0.798275887966156,,2.439999580383301,0.5289982635498047,81.18,0.6541363627957668,-78
ce_only,none,0,23,ce,0.1,0.6315815157996284,77.35999822616577,0.6558343768119812,0.03748832460187765,0.8110882639884949,,1.139998435974121,0.5223137260437012,81.78,0.7424829717352122,-77
ce_only,none,0,24,ce,0.1,0.6276827255619897,76.31999850273132,0.7118471264839172,0.04393371291161363,0.8065356612205505,,-1.0399997234344482,0.5608744522094726,80.68,0.8796305034878221,-76
ce_only,none,0,25,ce,0.1,0.6174459476047092,78.35999727249146,0.6555716395378113,0.04522273356616417,0.8275793790817261,,2.039998769760132,0.5101894195556641,82.78,0.6465197280928663,-75
