mode,teacher,seed,teacher_objective,teacher_test_acc,teacher_train_ce_loss,teacher_train_acc,test_at_switch,test_final,val_at_switch,val_final,val_peak_after,probe_ce_loss_at_switch,probe_acc_at_switch,probe_ce_loss_final,probe_acc_final,ece_at_switch,ece_final,agree_at_switch,agree_final,test_change,val_change
ce_only,none,0,,,,,86.82000041007996,86.58000230789185,87.18000054359436,86.50000095367432,87.26000189781189,0.059178262042999266,97.98,0.032067829608917235,99.02,0.0659752839763269,0.0832174365951184,,,-0.23999810218811035,-0.679999589920044
ce_only,none,1,,,,,84.42999720573425,84.32999849319458,84.47999954223633,84.60000157356262,84.74000096321106,0.07115980024337769,97.54,0.024066330742835998,99.32,0.08036401766206477,0.09531701985132587,,,-0.09999871253967285,0.12000203132629395
ce_only,none,2,,,,,86.46000027656555,86.2999975681305,86.76000237464905,86.33999824523926,87.12000250816345,0.07047266521453857,97.72,0.037441379070281985,98.82,0.06580269907009963,0.08274970386560568,,,-0.1600027084350586,-0.42000412940979004
ce_only,none,3,,,,,86.76000237464905,86.51000261306763,86.46000027656555,86.54000163078308,86.72000169754028,0.07509397029876709,97.56,0.040862784290313724,98.74,0.06607844250498429,0.07862523633369443,,,-0.2499997615814209,0.0800013542175293
ce_only,none,4,,,,,85.8299970626831,85.25000214576721,86.2600028514862,86.2600028514862,86.79999709129333,0.07785160789489746,97.34,0.04608751697540283,98.44,0.07205047515411724,0.08213527442582391,,,-0.5799949169158936,0.0
ce_only,none,5,,,,,86.23999953269958,86.39000058174133,86.54000163078308,86.77999973297119,87.23999857902527,0.06515770454406739,97.94,0.03696133441925049,98.76,0.06861707294370273,0.07978709993435372,,,0.15000104904174805,0.23999810218811035
ce_only,none,6,,,,,86.4300012588501,86.33999824523926,86.28000020980835,86.2999975681305,86.90000176429749,0.07031643447875977,97.48,0.03680015082359314,98.86,0.06766436127157294,0.07990962202972306,,,-0.09000301361083984,0.019997358322143555
ce_only,none,7,,,,,85.65000295639038,85.29999852180481,85.87999939918518,85.61999797821045,86.51999831199646,0.0812983741760254,97.04,0.03738729572296143,98.88,0.07214409369502126,0.09055032374459508,,,-0.3500044345855713,-0.26000142097473145
ce_only,none,8,,,,,86.00999712944031,85.9000027179718,86.11999750137329,86.51999831199646,86.72000169754028,0.07132530708312988,97.8,0.03889921088218689,98.68,0.07043925785189811,0.08078863621990157,,,-0.10999441146850586,0.40000081062316895
ce_only,none,9,,,,,86.08999848365784,86.16999983787537,86.2600028514862,86.4799976348877,86.8399977684021,0.07081376628875732,97.4,0.03782073612213135,98.56,0.0701379318658959,0.08174904266133065,,,0.0800013542175293,0.21999478340148926
kd_only,ce_e20,0,ce,55.900001525878906,1.181759149169922,57.2,56.98000192642212,56.76000118255615,56.99999928474426,57.03999996185303,57.099997997283936,1.171048629760742,58.02,1.1733252990722656,57.92,0.015522523157503923,0.018230476656885458,89.44000005722046,89.13999795913696,-0.2200007438659668,0.04000067710876465
kd_only,ce_e20,1,ce,55.900001525878906,1.181759149169922,57.2,56.790000200271606,56.55999779701233,56.87999725341797,56.220000982284546,57.12000131607056,1.1685729675292968,58.02,1.173528466796875,57.52,0.014528852728682845,0.021321915452857304,89.53999876976013,89.13999795913696,-0.23000240325927734,-0.6599962711334229
kd_only,ce_e20,2,ce,55.900001525878906,1.181759149169922,57.2,57.03999996185303,57.200002670288086,56.48000240325928,56.90000057220459,57.34000205993652,1.1689605316162108,57.8,1.165021939086914,57.9,0.01612227263959616,0.010017899104759573,88.71999979019165,89.5799994468689,0.1600027084350586,0.4199981689453125
kd_only,ce_e20,3,ce,55.900001525878906,1.181759149169922,57.2,56.779998540878296,56.74999952316284,56.87999725341797,56.72000050544739,57.27999806404114,1.1671787322998046,58.0,1.1707660522460936,57.96,0.017153092965828044,0.013868211994415396,89.13999795913696,89.30000066757202,-0.0299990177154541,-0.15999674797058105
kd_only,ce_e20,4,ce,55.900001525878906,1.181759149169922,57.2,56.40000104904175,56.37999773025513,56.40000104904175,56.459999084472656,57.12000131607056,1.171244171142578,57.58,1.1696988983154297,57.64,0.01696126903854271,0.023206925467410308,89.34000134468079,89.4599974155426,-0.020003318786621094,0.0599980354309082
kd_only,ce_e20,5,ce,55.900001525878906,1.181759149169922,57.2,56.849998235702515,56.779998540878296,56.599998474121094,56.91999793052673,57.179999351501465,1.170818670654297,57.76,1.1660096405029297,58.28,0.018674252183801712,0.009720156310981276,88.76000046730042,89.52000141143799,-0.06999969482421875,0.31999945640563965
kd_only,ce_e20,6,ce,55.900001525878906,1.181759149169922,57.2,57.1399986743927,56.950002908706665,56.58000111579895,56.40000104904175,56.779998540878296,1.1675177032470703,58.24,1.1672187683105468,57.92,0.018044297000590098,0.016695519951183797,89.0999972820282,89.21999931335449,-0.18999576568603516,-0.18000006675720215
kd_only,ce_e20,7,ce,55.900001525878906,1.181759149169922,57.2,56.940001249313354,56.80999755859375,56.90000057220459,56.87999725341797,57.35999941825867,1.1705951171875,57.46,1.1690498413085937,57.94,0.01919524301909202,0.02242895430094377,87.9800021648407,88.81999850273132,-0.1300036907196045,-0.020003318786621094
kd_only,ce_e20,8,ce,55.900001525878906,1.181759149169922,57.2,56.950002908706665,57.05000162124634,56.55999779701233,56.41999840736389,57.05999732017517,1.170238510131836,58.06,1.1716062774658202,57.74,0.014314664148116538,0.02124127560097025,88.58000040054321,88.55999708175659,0.09999871253967285,-0.1399993896484375
kd_only,ce_e20,9,ce,55.900001525878906,1.181759149169922,57.2,57.23000168800354,56.950002908706665,57.12000131607056,56.940001249313354,57.40000009536743,1.1652042724609375,58.28,1.1682108978271484,58.08,0.02242671387293551,0.013554117551220504,88.76000046730042,89.12000060081482,-0.279998779296875,-0.18000006675720215
kd_only,ce_e50,0,ce,79.68999743461609,0.4134262031555176,85.86,80.50000071525574,80.2299976348877,80.1800012588501,80.0599992275238,80.27999997138977,0.43062814712524417,85.28,0.43034414367675783,85.08,0.028980319184504034,0.031922880393089645,90.64000248908997,91.11999869346619,-0.270003080368042,-0.12000203132629395
kd_only,ce_e50,1,ce,79.68999743461609,0.4134262031555176,85.86,80.0499975681305,80.0499975681305,79.91999983787537,79.65999841690063,80.19999861717224,0.43677763214111326,84.64,0.4355075454711914,84.68,0.0342051708766905,0.03452277929073859,91.54000282287598,91.47999882698059,0.0,-0.26000142097473145
kd_only,ce_e50,2,ce,79.68999743461609,0.4134262031555176,85.86,80.26000261306763,80.44000267982483,80.11999726295471,80.58000206947327,80.58000206947327,0.4354928985595703,85.26,0.4304146324157715,85.2,0.032677562123204204,0.028837218639652433,91.15999937057495,91.21999740600586,0.18000006675720215,0.4600048065185547
kd_only,ce_e50,3,ce,79.68999743461609,0.4134262031555176,85.86,79.98999953269958,80.07000088691711,80.239999294281,79.96000051498413,80.44000267982483,0.4365425422668457,84.54,0.43751962890625,84.4,0.030222203627773912,0.02872341408366741,91.01999998092651,91.39999747276306,0.0800013542175293,-0.279998779296875
kd_only,ce_e50,4,ce,79.68999743461609,0.4134262031555176,85.86,80.41999936103821,80.64000010490417,79.91999983787537,79.5199990272522,80.32000064849854,0.44000709075927735,84.6,0.4371511489868164,84.76,0.03186991879280437,0.03517922115078165,90.7800018787384,91.01999998092651,0.2200007438659668,-0.40000081062316895
kd_only,ce_e50,5,ce,79.68999743461609,0.4134262031555176,85.86,80.7699978351593,80.65999746322632,79.91999983787537,79.91999983787537,80.08000254631042,0.44908349533081054,84.44,0.4452272605895996,84.74,0.03410521193197104,0.03688804058915568,89.89999890327454,89.99999761581421,-0.1100003719329834,0.0
kd_only,ce_e50,6,ce,79.68999743461609,0.4134262031555176,85.86,80.43000102043152,80.69999814033508,80.37999868392944,80.40000200271606,80.64000010490417,0.43616241760253904,84.54,0.4310006057739258,84.92,0.03235406853793149,0.02770258947074271,90.82000255584717,90.74000120162964,0.26999711990356445,0.020003318786621094
