metric,mean,std,variance
student_test_acc,83.932,0.1865904606350515,0.0348160000000007
student_test_acc_no_oracle,83.837,0.365924855673945,0.1339009999999975
ensemble_acc_logprob,83.18699999999998,0.2779946042641824,0.07728099999999938
ensemble_acc_prob,83.23600000000002,0.28029270415049773,0.07856399999999845
ensemble_acc_logit,83.18699999999998,0.2779946042641824,0.07728099999999938
avg_ens_acc,83.18699999999998,0.2779946042641824,0.07728099999999938
avg_learner_acc,81.63233333333335,0.35223675048901487,0.1240707283950605
avg_ens_conf,0.8163786959266662,0.009346708473997614,8.736095929789882e-05
mean_pairwise_disagreement,0.10688027739524841,0.010464758734957098,0.00010951117538086086
model_acc_std,1.5067553913950253,0.7211779067734083,0.5200975732180748
model_acc_var,2.7904093827160508,2.7026434715248056,7.304281734175653
