metric,mean,std,variance
student_test_acc,83.931,0.290360121228794,0.08430899999999995
student_test_acc_no_oracle,83.85399999999998,0.2969242327598087,0.08816400000000107
ensemble_acc_logprob,83.112,0.419471095547714,0.17595599999999942
ensemble_acc_prob,83.09100000000001,0.44567813498083864,0.1986289999999986
ensemble_acc_logit,83.112,0.419471095547714,0.17595599999999942
avg_ens_acc,83.112,0.419471095547714,0.17595599999999942
avg_learner_acc,81.24477777777778,0.3349114679404491,0.11216569135802648
avg_ens_conf,0.8092459556293488,0.006955950675613076,4.838524980156201e-05
mean_pairwise_disagreement,0.11671750098466874,0.01030179737120312,0.00010612702907732751
model_acc_std,1.531886514749224,0.5176556863719157,0.2679674096331792
model_acc_var,2.6146437037037034,1.773552611591397,3.145488866082665
